Date,Close-Last,Volume,Open,High,Low
2023-01-03,173.99,7565431,178.04,179,171.51
2023-01-04,172.14,7684494,170.95,174.29,170.85
2023-01-05,175.24,6088214,171.5,176.19,171.24
2023-01-06,176.56,7191222,177.02,179.39,175.7
2023-01-09,175.18,8385636,178.26,178.3299,174.3806
2023-01-10,176.04,8307049,176.4,176.71,173.72
2023-01-11,175.2,6962580,177.89,178.14,174.3
2023-01-12,177.08,6891351,175.99,178.37,175.9
2023-01-13,177.56,5726331,177.09,177.99,175.68
2023-01-17,180.49,10697750,178.44,181.32,178.18
2023-01-18,177.23,8899185,180.82,182.38,176.94
2023-01-19,179,5907163,176.61,179.95,176.16
2023-01-20,180.9,10477910,178.81,181.36,177.52
2023-01-23,180.66,8381315,181.21,182.5455,180.03
2023-01-24,180.83,5988995,181.09,182,178.7
2023-01-25,179.08,6727512,179.29,180.03,176.35
2023-01-26,187.79,14307820,184.99,187.81,183.48
2023-01-27,179.45,19654690,184.23,184.23,177.915
2023-01-30,174.2,11476040,178,178.34,173.67
2023-01-31,174.02,14481280,172.75,174.63,171.42
2023-02-01,171.36,11526400,173.31,173.66,169.54
2023-02-02,169.01,10463350,171.13,171.43,166.82
2023-02-03,169.45,8404871,169.86,171.5477,168.49
2023-02-06,169.64,7659492,169.56,170.12,167.37
2023-02-07,174.09,10256500,170.065,174.39,169.61
2023-02-08,170,9784725,172.48,174.0686,169.465
2023-02-09,168.44,10123360,170.23,170.66,168
2023-02-10,171.97,11602390,170.8,172.73,170.78
2023-02-13,171.01,9442889,171.32,171.9,169.77
2023-02-14,172.32,8077335,170.48,173.51,169.98
2023-02-15,169.01,8888908,169.4,169.5238,167.5
2023-02-16,166.57,6727542,168.19,168.66,166.4
2023-02-17,162.85,9612107,164.73,164.84,161.85
2023-02-21,161,7259738,162.18,163.7497,160.7
2023-02-22,160.35,6205935,160.28,161.66,158.91
2023-02-23,161.93,6445523,162.25,162.84,160.56
2023-02-24,162.41,5330180,160.77,162.6,159.15
2023-02-27,162.82,6386760,163.01,163.37,161.92
2023-02-28,160.77,10854230,164.32,164.32,160.28
2023-03-01,162.05,7470391,160.92,163.59,160.59
2023-03-02,162.56,5582097,161.98,163.49,161.5901
2023-03-03,164.96,6007546,160.87,165.58,160.42
2023-03-06,166.17,7703600,164.34,166.8,163.81
2023-03-07,164.03,7392967,165.7,166.6,163.58
2023-03-08,162.99,5435819,163.23,165.29,161.38
2023-03-09,160.51,6214745,163.79,165.49,160.19
2023-03-10,159.67,7385803,160.94,164.67,158.67
2023-03-13,158.71,10106130,156.44,160.95,153.8
2023-03-14,160.76,10035190,158.26,164.02,157.88
2023-03-15,153.8,14063140,155.59,157.95,152.01
2023-03-16,154.29,12852170,150.16,155.465,149.91
2023-03-17,152.34,33161770,153.62,155.38,150.6
2023-03-20,154.58,8461413,151.74,155.78,151.29
2023-03-21,159.31,9753541,157.16,159.57,156.47
2023-03-22,156.07,6314994,159.87,160.06,155.93
2023-03-23,154.52,7859437,157.02,158.755,153.14
2023-03-24,156.06,6601923,152.1,156.65,151.83
2023-03-27,157.65,7006768,157.4,158.48,155.69
2023-03-28,159.49,5605382,157.28,160.19,156.68
2023-03-29,160.86,7569727,160.62,161.32,159.3348
2023-03-30,162.39,6322353,162.25,163.01,161.58
2023-03-31,163.16,7041436,162.7,163.72,162.15
2023-04-03,169.95,12868170,169.8,171.1,168.92
2023-04-04,169.04,7521448,171.14,171.14,167.72
2023-04-05,169.88,6478114,169.26,170.44,167.74
2023-04-06,167.65,5803168,169.345,169.41,167.13
2023-04-10,168.29,5923503,168.49,169.675,167.31
2023-04-11,169.22,5469592,169.065,170.34,168.07
2023-04-12,169.82,6157875,170.45,171.12,169.47
2023-04-13,172.09,6856568,170.25,172.47,169.82
2023-04-14,172.44,4930721,172.5,172.88,171.22
2023-04-17,170.92,7005985,172.39,172.54,170.22
2023-04-18,170.52,8045627,170.82,172.39,170.125
2023-04-19,170.68,5506770,169.46,170.74,169.095
2023-04-20,169.85,5851104,168.76,170.06,168.02
2023-04-21,169.12,7179013,169.83,170.59,168.84
2023-04-24,171.48,7177576,169.1,172.38,168.58
2023-04-25,168.99,5807244,170.32,170.4,168.43
2023-04-26,165.98,5927431,168.21,168.95,165.23
2023-04-27,166.95,6417225,166.43,167.3866,165.07
2023-04-28,168.58,10036290,164.5,168.94,164.05
2023-05-01,167.24,6099800,167.71,168.73,166.36
2023-05-02,160.04,10701670,165.32,165.38,158.45
2023-05-03,156.83,7538057,158.15,159.57,156.74
2023-05-04,156.22,7500368,157.11,158.1999,155.42
2023-05-05,160.21,5801986,159.3,161.12,158.78
2023-05-08,159.58,5028202,161.57,162.3,159.52
2023-05-09,159.12,5019809,158.11,160.415,157.9125
2023-05-10,157.09,6161227,160.44,160.44,155.881
2023-05-11,156.22,6666132,155.38,156.32,153.89
2023-05-12,156.62,4898904,157,157.93,155.56
2023-05-15,157.2,5096748,157.23,158.1629,156.23
2023-05-16,153.51,7009079,156.48,157.02,153.3289
2023-05-17,155.71,6169555,154.785,156.42,153.96
2023-05-18,154.01,7477698,152.87,154.24,151.53
2023-05-19,155.23,8100946,154.89,156.44,153.985
2023-05-22,152.44,11660950,153.79,154.83,152.09
2023-05-23,156.85,10436210,154.14,157.6795,153.84
2023-05-24,157.27,7063999,157.95,158.57,156.29
2023-05-25,154.56,7037671,154.68,155.625,153.5
2023-05-26,154.08,7736203,155.29,155.63,153.46
2023-05-30,153.12,7814766,151.67,153.26,151.21
2023-05-31,150.62,13346440,151.544,152.4201,150.36
2023-06-01,152.16,9887729,151.3,153.74,149.74
2023-06-02,156.26,9464262,154.58,156.75,153.61
2023-06-05,155.51,6443842,158.45,157.89,155.24
2023-06-06,155.79,6176434,153.33,156.16,153.2
2023-06-07,159.83,9900022,156.55,160.21,156.5
2023-06-08,159.24,7142908,160.16,160.49,157.09
2023-06-09,158.86,6669832,159.28,160.39,158.62
2023-06-12,157.33,7162092,157.06,159.3275,156.23
