Date,Close-Last,Volume,Open,High,Low
2016-09-06,88.57,9846087,87.84,88.64,87.66
2016-09-07,88.24,7464947,88.65,88.67,87.97
2016-09-08,89.05,9575778,88.55,89.37,88.04
2016-09-09,86.84,12773160,88.66,88.66,86.8
2016-09-12,87.29,10873270,86.78,87.71,86.63
2016-09-13,85.21,13178200,86.46,86.47,85.08
2016-09-14,84.6,13935400,85.04,85.83,84.265
2016-09-15,85.08,9235549,84.67,85.65,84.52
2016-09-16,84.03,21515600,84.51,85.05,83.56
2016-09-19,83.83,7928951,84.58,84.62,83.81
2016-09-20,82.54,17234820,83.73,83.95,82.54
2016-09-21,83.3,15033980,82.82,83.62,82.31
2016-09-22,83.54,10703170,84.28,84.55,83.38
2016-09-23,83.45,12663580,82.68,84.31,82.59
2016-09-26,83.06,10851050,83.52,84.5,82.93
2016-09-27,83.24,9587485,82.59,83.34,82.29
2016-09-28,86.9,28102320,83.46,87.23,83.34
2016-09-29,86.46,19055180,86.97,87.2,85.675
2016-09-30,87.28,15927840,86.84,87.81,86.65
2016-10-03,87.05,7082632,86.94,87.2,86.54
2016-10-04,86.25,8211433,87.38,87.5,86.07
2016-10-05,87,8790339,86.83,87.17,86.7
2016-10-06,87.04,7717701,87.25,87.47,86.44
2016-10-07,86.74,6599116,86.95,87.4,86.42
2016-10-10,88.44,10050930,87.54,88.67,87.51
2016-10-11,87.74,9289679,88.08,88.19,87.3
2016-10-12,87.13,8172309,87.22,87.72,86.67
2016-10-13,86.56,9884502,86.35,86.869,85.43
2016-10-14,86.54,7977738,87.19,87.535,86.48
2016-10-17,86.54,7255758,86.48,86.79,86.07
2016-10-18,86.77,5407652,87.17,87.33,86.38
2016-10-19,87.17,9361063,87.19,87.85,86.88
2016-10-20,87.21,6853804,86.79,87.5,86.6
2016-10-21,86.62,10719610,86.42,86.82,85.6985
2016-10-24,86.91,8331278,86.74,87.32,86.07
2016-10-25,86.72,6820764,86.67,87.65,86.6
2016-10-26,87.09,8478130,86.25,87.45,85.95
2016-10-27,86.92,9052759,87.28,87.66,86.8
2016-10-28,84.78,19070570,85.28,86.36,84.14
2016-10-31,83.32,16608610,83.88,84.4,82.99
2016-11-01,83.65,13035880,83.5,83.92,83.27
2016-11-02,83.45,11198430,83.3,83.88,82.94
2016-11-03,83.66,8818660,83.68,83.88,83.05
2016-11-04,83.57,13858600,83.63,84.33,82.76
2016-11-07,85.45,13556890,84.49,85.47,84.4004
2016-11-08,85.31,9718516,84.73,85.83,84.49
2016-11-09,86.25,15864210,84.05,86.71,83.66
2016-11-10,87.05,14069230,85.91,87.99,85.66
2016-11-11,85.67,13732880,86.53,86.73,84.89
2016-11-14,85.28,12582220,85.3,85.65,84.325
2016-11-15,86.82,12882240,85.77,87.06,85.77
2016-11-16,85.75,8137416,86.74,86.78,85.58
2016-11-17,85.23,8174752,86.44,86.88,85.02
2016-11-18,85.28,8350130,85.21,85.65,84.83
2016-11-21,86.49,8847675,86.44,86.69,86.135
2016-11-22,86.68,9387598,86.69,87.24,85.97
2016-11-23,86.92,6060681,86.54,87.08,86.3101
2016-11-25,87.12,5043042,86.71,87.14,86.54
2016-11-28,86.47,7399912,86.95,87.1348,86.37
2016-11-29,85.9,9161668,85.42,86.075,85.08
2016-11-30,87.3,22647820,87.6,88.19,87.2
2016-12-01,87.24,12999540,87.98,88.5,87.24
2016-12-02,87.04,9695961,87.19,87.99,86.6
2016-12-05,87.48,11721290,87.39,87.82,86.92
2016-12-06,87.56,11280350,87.27,87.87,86.6999
2016-12-07,88.07,10899320,87.63,88.15,87.2
2016-12-08,88.32,9029482,88.05,88.85,87.65
2016-12-09,89,8014781,88.64,89,88.18
2016-12-12,90.98,15536580,90.14,91.5,90.14
2016-12-13,92.58,18235580,91.89,93.215,91.17
2016-12-14,90.58,16322600,92.26,92.27,90.17
2016-12-15,90.89,11135690,90.1,90.98,89.76
2016-12-16,91.18,20291240,91.52,91.67,90.64
2016-12-19,90.42,9651496,91.38,91.54,90.2
2016-12-20,90.43,7206835,90.51,90.85,90.29
2016-12-21,90.28,7298098,90.68,90.9,90.18
2016-12-22,90.87,7989703,90.02,90.9,90.02
2016-12-23,90.71,4266137,90.89,90.96,90.52
2016-12-27,90.75,4913368,90.83,91.11,90.58
2016-12-28,90.3,6574300,90.68,91.11,90.26
2016-12-29,90.35,6683867,90.1,90.6,90.03
2016-12-30,90.26,9117025,90.03,90.7,90.01
2017-01-03,90.89,10344430,90.94,91.34,90.15
2017-01-04,89.89,9384256,91.12,91.15,89.75
2017-01-05,88.55,14438510,90.19,90.3,88.44
2017-01-06,88.5,16508660,88.79,88.98,87.82
2017-01-09,87.04,13746820,88.22,88.22,86.55
2017-01-10,85.93,13267310,87.17,87.31,85.91
2017-01-11,86.81,11031980,85.9,86.95,85.86
2017-01-12,86.34,10394730,87.27,87.38,86.07
2017-01-13,86.35,8404428,86.27,86.68,86.17
2017-01-17,87.36,13233190,86.58,87.39,86.25
2017-01-18,86.28,11812980,87.06,87.41,86.05
2017-01-19,84.73,16355880,85.97,86.1,84.59
2017-01-20,85.89,18699760,85.44,85.96,85.05
2017-01-23,84.97,11413130,85.68,85.88,84.75
2017-01-24,85.09,11834120,84.98,85.47,84.825
2017-01-25,85.34,9576700,85.34,85.88,85.25
2017-01-26,85.6,8775047,85.69,85.83,85.12
2017-01-27,85.51,10942330,85.3,85.75,85.0441
2017-01-30,84.86,12761330,85.42,85.45,84.175
2017-01-31,83.89,19126180,85.04,85.07,83.13
2017-02-01,82.94,15084320,84,84.16,82.54
2017-02-02,83.45,12190440,83.21,83.53,82.55
2017-02-03,83.54,12732810,83.7,83.72,82.9
2017-02-06,83.31,9929942,83.55,83.65,82.93
2017-02-07,82.77,11689350,83.23,83.62,82.45
2017-02-08,81.48,14003910,81.99,82.12,81.17
2017-02-09,81.84,9574366,81.8,82.05,81.665
2017-02-10,82.52,8739381,82.26,82.77,82.13
2017-02-13,83,9056892,82.77,83.1837,82.35
2017-02-14,82.82,11369840,82.91,83.1,82.06
2017-02-15,83.16,11761910,82.64,83.18,82.4634
2017-02-16,82.3,10612220,83.12,83.42,82.17
2017-02-17,81.76,15631780,82.09,82.19,81.44
2017-02-21,81.89,16413360,82.12,82.15,81.3
2017-02-22,80.93,12897880,81.65,81.7,80.87
2017-02-23,81.78,13840770,81.42,82.22,81.03
2017-02-24,81.08,11336170,81.6,81.8,80.76
2017-02-27,81.54,13456190,81.13,81.71,80.81
2017-02-28,81.32,16828040,81.53,81.99,81.05
2017-03-01,83.02,17476710,81.7,83.33,81.7
2017-03-02,83.3,14159890,82.8,84.25,82.79
2017-03-03,82.46,12291790,83.56,83.6,82.26
2017-03-06,82.83,9616011,82.44,82.9,82.331
2017-03-07,82.52,12710160,83.11,83.29,82.14
2017-03-08,81.03,16813700,82.35,82.38,81.01
2017-03-09,81.67,14708280,80.64,81.72,80.31
2017-03-10,81.61,11354630,82.44,82.47,81.155
2017-03-13,81.42,9420033,81.5,81.94,81.05
2017-03-14,80.99,11333060,81,81.229,80.44
2017-03-15,82,11966690,81.35,82.06,81.045
2017-03-16,82.07,9923605,82.03,82.2,81.67
2017-03-17,82,18828130,82.03,82.26,81.82
2017-03-20,82,7699658,81.72,82.04,81.44
2017-03-21,81.83,13389790,82.16,82.35,81.6
2017-03-22,81.76,11161210,81.96,82.09,81.43
2017-03-23,81.86,8927004,81.63,82.22,81.46
