Date,Close-Last,Volume,Open,High,Low
2023-01-03,106.51,15146170,109.78,110.02,105.49
2023-01-04,106.82,18058400,104.8,107.155,104.76
2023-01-05,109.21,15946560,106.34,109.95,106.31
2023-01-06,110.53,16348130,110.08,111.99,109.67
2023-01-09,108.47,17964590,111.64,111.64,107.81
2023-01-10,110.09,15104600,109.79,110.33,108.005
2023-01-11,111.37,16710370,110.99,111.45,109.085
2023-01-12,113.22,15357320,111.82,113.74,111.74
2023-01-13,113.15,12011360,113.11,113.49,112.16
2023-01-17,112.93,16542200,113.41,114.08,112.67
2023-01-18,110.61,16399690,113.26,114.12,110.3987
2023-01-19,111.32,12928020,110.07,112.13,109.58
2023-01-20,113.35,16515610,111.36,113.44,110.61
2023-01-23,112.76,16584420,113.64,114.59,112.64
2023-01-24,113.81,13583030,109.16,114.02,99.23
2023-01-25,113.21,11914730,113.23,113.65,111.39
2023-01-26,117.76,21019680,114.72,117.78,114.335
2023-01-27,115.61,15179210,116.95,117.67,115.39
2023-01-30,113.56,18672050,115.09,115.49,113.1519
2023-01-31,116.01,27861850,112.1,116.4,110.43
2023-02-01,114.74,19464870,115.83,117.38,113.34
2023-02-02,111.15,24562120,114.85,115.07,109.83
2023-02-03,111.92,20226610,111.9,114.11,111.56
2023-02-06,111.73,13855210,112.36,113.09,110.32
2023-02-07,114.92,16013310,112.39,115.31,112.021
2023-02-08,113.92,18459680,115.05,115.83,113.85
2023-02-09,114.35,17439310,114.62,116.24,114.18
2023-02-10,119.17,24918620,116.51,119.63,116.16
2023-02-13,117.8,14536240,117.72,118.18,115.9
2023-02-14,116.42,12078990,117.01,117.81,116.0169
2023-02-15,116.07,13673360,115.72,116.09,114.14
2023-02-16,115.73,11360600,115.31,116.78,114.8
2023-02-17,111.28,20758330,114.19,114.19,110.9799
2023-02-21,111.17,14469430,110.81,112.38,110.81
2023-02-22,109.73,13973840,110.48,110.97,108.64
2023-02-23,110.74,11289400,110.73,111.83,109.9
